MODULE	NODE	P	FDR	N.mod	N.neigh	N.obsrv	N.expct	MEMBER	FILL	FOLD
KEGG_TYPE_I_DIABETES_MELLITUS,..	GZMA	1.51789704335969e-60	6.18846624577746e-57	47	367	25	1.55803450456147	FALSE	0.0681198910081744	16.045857730883
KEGG_TYPE_I_DIABETES_MELLITUS,..	CXCL9	9.2348665749697e-58	1.88252755130757e-54	47	341	24	1.44765603829826	FALSE	0.0703812316715543	16.5785237411867
KEGG_TYPE_I_DIABETES_MELLITUS,..	CXCL11	3.15202307082119e-56	4.283599353246e-53	47	313	24	1.32878692078403	FALSE	0.0766773162939297	18.0615865678744
KEGG_VIRAL_MYOCARDITIS	HCP5	2.91251539557331e-55	2.96858131693809e-52	58	235	24	1.23114443139734	FALSE	0.102127659574468	19.4940572267058
KEGG_VIRAL_MYOCARDITIS	CLEC10A	1.59956735523617e-53	1.30428722145957e-50	58	307	24	1.60834612952759	FALSE	0.0781758957654723	14.9221610693025
KEGG_TYPE_I_DIABETES_MELLITUS,..	CCL18	1.90154376733303e-52	1.29209898990279e-49	47	315	23	1.33727757203505	FALSE	0.073015873015873	17.1991219182709
KEGG_TYPE_I_DIABETES_MELLITUS,..	CCL3	3.86174989767957e-52	2.24919347611995e-49	47	271	23	1.15048324451269	FALSE	0.0848708487084871	19.9915992776949
KEGG_VIRAL_MYOCARDITIS	HLA-DRB5	2.54232008907285e-51	1.29562987539375e-48	58	263	23	1.37783398067022	TRUE	0.0874524714828897	16.6928674446047
KEGG_VIRAL_MYOCARDITIS	CCL3	7.30471597962273e-51	3.3090363387691e-48	58	271	23	1.41974528046247	FALSE	0.0848708487084871	16.2000890698562
KEGG_VIRAL_MYOCARDITIS	HLA-DQA1	1.40322959674162e-50	5.7209670659156e-48	58	286	23	1.49832896757294	TRUE	0.0804195804195804	15.3504340487099
KEGG_VIRAL_MYOCARDITIS	IDO1	2.05479528474676e-50	7.61581852355687e-48	58	284	23	1.48785114262488	FALSE	0.0809859154929577	15.4585356969403
KEGG_TYPE_I_DIABETES_MELLITUS,..	IL16	2.94577251637339e-49	1.00082621243786e-46	47	382	23	1.62171438894409	FALSE	0.0602094240837696	14.1825220006684
KEGG_TYPE_I_DIABETES_MELLITUS,..	CLEC10A	9.29160511655509e-49	2.9139903123227e-46	47	307	22	1.30331496703098	FALSE	0.0716612377850163	16.8800332663386
KEGG_TYPE_I_DIABETES_MELLITUS,..	HCP5	2.48411586770199e-47	7.2341002804436e-45	47	235	22	0.9976515219944	FALSE	0.0936170212765957	22.0517881394296
KEGG_TYPE_I_DIABETES_MELLITUS,..	GZMK	8.5661655737153e-47	2.32828380293582e-44	47	295	22	1.25237105952488	FALSE	0.0745762711864407	17.5666786873422
KEGG_TYPE_I_DIABETES_MELLITUS,..	GZMB	1.21023636348891e-46	3.08383353371519e-44	47	380	24	1.61322373769307	TRUE	0.0631578947368421	14.8770436730123
KEGG_TYPE_I_DIABETES_MELLITUS,..	IDO1	4.0615957759932e-46	9.74066234042606e-44	47	284	22	1.2056724776443	FALSE	0.0774647887323944	18.2470782139646
KEGG_VIRAL_MYOCARDITIS	LYZ	1.61276613784429e-44	3.65291530221731e-42	58	309	22	1.61882395447566	FALSE	0.0711974110032362	13.590112710635
KEGG_TYPE_I_DIABETES_MELLITUS,..	SLAMF1	1.9203149087442e-44	4.12059151734217e-42	47	324	22	1.37548550266462	FALSE	0.0679012345679012	15.9943525085369
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	IGKC	5.66272289226121e-43	1.15434606158745e-40	38	373	21	1.28028181736067	FALSE	0.0563002680965147	16.4026386341188
KEGG_VIRAL_MYOCARDITIS	UCP2	4.94981436736254e-42	9.60971103606528e-40	58	255	21	1.33592268087797	FALSE	0.0823529411764706	15.7194726166329
KEGG_TYPE_I_DIABETES_MELLITUS,..	LYZ	5.23183300374414e-42	9.69553779830221e-40	47	309	21	1.311805618282	FALSE	0.0679611650485437	16.0084693245197
KEGG_TYPE_I_DIABETES_MELLITUS,..	AIM2	1.39638463121674e-41	2.47524353976985e-39	47	310	21	1.31605094390751	FALSE	0.067741935483871	15.9568291008922
KEGG_TYPE_I_DIABETES_MELLITUS,..	HLA-DQA1	7.89264127171212e-41	1.3407624360321e-38	47	286	21	1.21416312889531	TRUE	0.0734265734265734	17.2958637107573
KEGG_TYPE_I_DIABETES_MELLITUS,..	CCR5	1.07316445244158e-40	1.75011658904174e-38	47	279	21	1.18444584951676	FALSE	0.0752688172043011	17.7298101121025
KEGG_VIRAL_MYOCARDITIS	CCR5	1.73915380004947e-40	2.7271269395391e-38	58	279	21	1.46165658025472	FALSE	0.0752688172043011	14.3672599184279
KEGG_TYPE_I_DIABETES_MELLITUS,..	HLA-DRB5	4.91870405968524e-40	7.16349987794182e-38	47	263	21	1.11652063950863	TRUE	0.0798479087452472	18.8084297386943
KEGG_VIRAL_MYOCARDITIS	CCL18	4.91974482664633e-40	7.16349987794182e-38	58	315	24	1.65025742931984	FALSE	0.0761904761904762	14.5431855500821
KEGG_VIRAL_MYOCARDITIS	AIM2	1.15212625886758e-39	1.61973060600108e-37	58	310	21	1.62406286694969	FALSE	0.067741935483871	12.9305339265851
KEGG_VIRAL_MYOCARDITIS	C2	1.21154851949542e-38	1.64649443799427e-36	58	315	21	1.65025742931984	FALSE	0.0666666666666667	12.7252873563218
KEGG_TYPE_I_DIABETES_MELLITUS,..	MX1	1.04037751929022e-37	1.36826424069233e-35	47	327	20	1.38822147954114	FALSE	0.0611620795107034	14.4069230268723
KEGG_VIRAL_MYOCARDITIS	PILRA	3.23445949782896e-37	4.12090355395271e-35	58	295	20	1.54547917983922	FALSE	0.0677966101694915	12.9409701928697
KEGG_HEMATOPOIETIC_CELL_LINEAGE	MS4A1	5.49304356268756e-37	6.78640563790218e-35	76	225	20	1.54457591906783	TRUE	0.0888888888888889	12.9485380116959
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	IGHM	8.38653768574452e-37	1.00564453367001e-34	38	440	20	1.51025200975522	FALSE	0.0454545454545455	13.2428229665072
KEGG_TYPE_I_DIABETES_MELLITUS,..	CST7	1.85069211399675e-36	2.1557919282185e-34	47	335	20	1.42218408454521	FALSE	0.0597014925373134	14.0628771038425
KEGG_TYPE_I_DIABETES_MELLITUS,..	ARHGAP15	2.0828553301252e-36	2.35883366136678e-34	47	353	20	1.49859994580435	FALSE	0.056657223796034	13.3457898860828
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	SELL	3.16380307765399e-36	3.48616895880955e-34	38	451	20	1.5480083099991	FALSE	0.0443458980044346	12.9198272843972
KEGG_CELL_ADHESION_MOLECULES_CAMS	BATF	1.24665380060298e-35	1.33752830133115e-33	95	253	26	2.17098726402312	FALSE	0.102766798418972	11.9761181610152
KEGG_TYPE_I_DIABETES_MELLITUS,..	NKG7	2.07145091089356e-35	2.16546291377258e-33	47	342	20	1.45190136392376	FALSE	0.0584795321637427	13.7750404379744
KEGG_TYPE_I_DIABETES_MELLITUS,..	MMP9	2.80143612208624e-35	2.8553637674364e-33	47	373	20	1.58350645831452	FALSE	0.0536193029490617	12.6301979350864
KEGG_TYPE_I_DIABETES_MELLITUS,..	GPR171	3.10515792526765e-35	3.08773874666249e-33	47	238	19	1.01038749887092	FALSE	0.0798319327731092	18.8046665474701
KEGG_TYPE_I_DIABETES_MELLITUS,..	KLRB1	9.0535867192373e-35	8.78844596531678e-33	47	228	19	0.967934242615843	FALSE	0.0833333333333333	19.6294326241135
KEGG_TYPE_I_DIABETES_MELLITUS,..	AOAH	4.88427131282998e-34	4.63097073079252e-32	47	281	19	1.19293650076777	FALSE	0.0676156583629893	15.9270841220565
KEGG_HEMATOPOIETIC_CELL_LINEAGE	CD3E	6.57909541635524e-34	6.09613000283643e-32	76	215	20	1.4759281004426	TRUE	0.0930232558139535	13.5507955936353
KEGG_TYPE_I_DIABETES_MELLITUS,..	SECTM1	1.02155604782992e-33	9.25529779333907e-32	47	334	19	1.4179387589197	FALSE	0.0568862275449102	13.3997324499936
KEGG_TYPE_I_DIABETES_MELLITUS,..	C2	1.39098656836376e-33	1.23283744330849e-31	47	315	19	1.33727757203505	FALSE	0.0603174603174603	14.2079702803107
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	HLA-DMB	1.42372505956884e-33	1.23500575911961e-31	38	748	25	2.56742841658387	TRUE	0.0334224598930481	9.7373698283141
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	IGL	2.083259096136e-33	1.71715590743175e-31	38	427	19	1.46563092764881	FALSE	0.0444964871194379	12.963700234192
KEGG_HEMATOPOIETIC_CELL_LINEAGE	CD1C	2.10384272968958e-33	1.71715590743175e-31	76	208	19	1.42787462740493	TRUE	0.0913461538461538	13.3064903846154
KEGG_VIRAL_MYOCARDITIS	CD27	2.10590619012969e-33	1.71715590743175e-31	58	313	20	1.63977960437178	FALSE	0.0638977635782748	12.1967610443979
KEGG_TYPE_I_DIABETES_MELLITUS,..	RELB	2.19610743700837e-33	1.75559412170258e-31	47	334	19	1.4179387589197	FALSE	0.0568862275449102	13.3997324499936
KEGG_VIRAL_MYOCARDITIS	IFI44L	2.88812113764073e-33	2.26439805349255e-31	58	259	19	1.35687833077409	FALSE	0.0733590733590734	14.0027293303155
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CXCL9	5.05348250088401e-33	3.88736757662341e-31	38	341	19	1.17044530756029	FALSE	0.0557184750733138	16.233137829912
KEGG_VIRAL_MYOCARDITIS	CD40	5.24160399120176e-33	3.95741101335733e-31	58	266	19	1.39355071809231	TRUE	0.0714285714285714	13.634236453202
KEGG_TYPE_I_DIABETES_MELLITUS,..	BTN3A1	5.43121959738496e-33	4.02601496337063e-31	47	325	19	1.37973082829013	FALSE	0.0584615384615385	13.7708019639935
KEGG_PRIMARY_IMMUNODEFICIENCY	LCK	1.327678610058e-32	9.66597445215443e-31	32	548	19	1.58395808870021	TRUE	0.0346715328467153	11.995266879562
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	BTN3A2	2.37005123233797e-32	1.69521032881437e-30	38	468	19	1.60635895583055	FALSE	0.0405982905982906	11.8279914529915
KEGG_TYPE_I_DIABETES_MELLITUS,..	INPP5D	2.68265850975369e-32	1.88572392142514e-30	47	331	19	1.40520278204318	FALSE	0.0574018126888218	13.5211801761265
KEGG_VIRAL_MYOCARDITIS	CXCL11	3.32541416067506e-32	2.29791754797834e-30	58	313	22	1.63977960437178	FALSE	0.0702875399361022	13.4164371488377
KEGG_VIRAL_MYOCARDITIS	AOAH	3.43074947199517e-32	2.33119426622072e-30	58	281	19	1.47213440520278	FALSE	0.0676156583629893	12.9064302368389
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	ITK	4.07989136648374e-32	2.72683886904168e-30	38	439	19	1.50681961882395	FALSE	0.0432801822323462	12.6093394077449
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD27	7.24365001116989e-32	4.76328404766769e-30	47	313	19	1.32878692078403	FALSE	0.060702875399361	14.2987560329006
KEGG_TYPE_I_DIABETES_MELLITUS,..	IGKC	1.4270079586513e-31	9.23478007527199e-30	47	373	19	1.58350645831452	FALSE	0.0509383378016086	11.9986880383321
KEGG_VIRAL_MYOCARDITIS	ITGAX	1.63759249404066e-31	1.04319759346934e-29	58	301	19	1.57691265468341	FALSE	0.0631229235880399	12.0488601214343
KEGG_VIRAL_MYOCARDITIS	RIN3	2.20171268113675e-31	1.38098193861455e-29	58	295	19	1.54547917983922	FALSE	0.0644067796610169	12.2939216832262
KEGG_VIRAL_MYOCARDITIS	GZMK	7.97865016518697e-31	4.92862980658595e-29	58	295	19	1.54547917983922	FALSE	0.0644067796610169	12.2939216832262
KEGG_TYPE_I_DIABETES_MELLITUS,..	LILRB1	1.19046714742081e-30	7.24408143288751e-29	47	383	19	1.6259597145696	FALSE	0.0496083550913838	11.685406366313
KEGG_TYPE_I_DIABETES_MELLITUS,..	IRF9	2.54446712263973e-30	1.52555771455915e-28	47	369	19	1.56652515581248	FALSE	0.0514905149051491	12.1287551173384
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	CCL3	3.29561607190395e-30	1.94727923552934e-28	38	271	18	0.930177942371963	FALSE	0.0664206642066421	19.3511361429404
KEGG_TYPE_I_DIABETES_MELLITUS,..	IL2RB	3.55912305774831e-30	2.07293495806284e-28	47	251	18	1.06557673200253	FALSE	0.0717131474103586	16.892260744257
KEGG_TYPE_I_DIABETES_MELLITUS,..	PRF1	4.36258558909001e-30	2.5051072460169e-28	47	395	24	1.67690362207569	TRUE	0.0607594936708861	14.3120926474549
KEGG_TYPE_I_DIABETES_MELLITUS,..	CD40	4.48391036007933e-30	2.53901424139492e-28	47	266	18	1.12925661638515	TRUE	0.0676691729323308	15.9396896496561
KEGG_VIRAL_MYOCARDITIS	LGALS3BP	4.75088041310691e-30	2.65333417044341e-28	58	325	19	1.70264655406016	FALSE	0.0584615384615385	11.1590981432361
