NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
A2M	A2M	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ABCA1	ABCA1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ABCC3	ABCC3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ABCG1	ABCG1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ABI1	ABI1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACAP1	ACAP1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACKR1	ACKR1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACOT9	ACOT9	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACOX2	ACOX2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACP2	ACP2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACP5	ACP5	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS,KEGG_PRIMARY_IMMUNODEFICIENCY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_ASTHMA,KEGG_TYPE_I_DIABETES_MELLITUS,..	KEGG_TYPE_I_DIABETES_MELLITUS,..	#B2C0FF	NO	20
ACSL1	ACSL1	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACSL5	ACSL5	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACTB	ACTB	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ACTN1	ACTN1	#cfcfcf	100	Diamond				KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	#FF9F7F	NO	20
ACTR2	ACTR2	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
ACTR3	ACTR3	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
