MODULE	gwas.P	gwas.FDR	gwas.Z	gwas.Chi_Var	ewas1.P	ewas1.FDR	ewas1.Z	ewas1.Chi_Var	ewas2.P	ewas2.FDR	ewas2.Z	ewas2.Chi_Var	META.P	META.FDR	Cochran.Q	Cochran.P	I2	gwas.TOPGENES	gwas.TOPMARKERS	gwas.TOPVALUES	ewas1.TOPGENES	ewas1.TOPMARKERS	ewas1.TOPVALUES	ewas2.TOPGENES	ewas2.TOPMARKERS	ewas2.TOPVALUES
_ctrlA	4.60224846736313e-07	1.15056211684078e-05	4.90792514643282	357.019541784696	7.52933793521683e-67	1.34775149040381e-64	17.2328349126488	9.52294651314866	2.90312575164147e-167	5.48690767060237e-165	27.5401534050979	20.7763010604083	3.08e-181	0.0000	4.17e+00	1.24e-01	52.0698431737077	MICA;NOTCH4;ZBTB12;MICB;STK19;PSORS1C1;CDSN,HLA-B;AGER;DDR1;VARS2,LINC02570	rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs2894207;rs2844627	50.69;50.69;50.69;50.69;50.69;50.69;50.69;50.69;37.42;35.64	C10orf99;TREM2;IL11RA;TNS1;VHL;ZNF540;C10orf72;MCF2L;FBXW10;GPHA2	cg04126866;cg01980222;cg21504624;cg18328334;cg20916523;cg27389185;cg08427977;cg11668844;cg05127924;cg03245641	8.98;7.96;7.03;6.44;6.22;5.83;5.64;5.63;5.45;5.40	S100A9;CCDC88B;SLC22A18AS;ATP2B2;PTP4A3;ARHGAP25;TGM6;P2RY6;INPP5A;S1PR4	cg06355720;cg22663489;cg18458509;cg20729768;cg06411619;cg09721047;cg16680506;cg04099543;cg04366994;cg27121758	13.23;11.09;10.82;10.82;10.28;9.99;9.61;9.58;9.53;9.52
_ctrlB	1.2468856108557e-06	2.72756227374685e-05	4.7086383128127	395.530197470081	7.3357144160081e-42	6.56546440232725e-40	13.5046979234508	8.29916207908477	1.02732541325464e-106	9.70822515525633e-105	21.9106857891331	19.6559965833277	5.06e-119	0.0000	2.85e+00	2.41e-01	29.7088130088449	NOTCH4;CDSN,HLA-B;MICA;MICB;PSORS1C1;DDR1;C4A,C4B,CYP21A1P,CYP21A2,RNF5;VARS2,LINC02570;C6orf15;CCHCR1,HLA-C	rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs2894207;rs2844627;rs2844627;rs2844627;rs2844627	50.69;50.69;50.69;50.69;50.69;37.42;35.64;35.64;35.64;35.64	IL11RA;VHL;LAMA4;GALR1;CCND1;SOX17;RDH5;KYNU;S100A9;GPT	cg21504624;cg20916523;cg14289461;cg00662556;cg16794682;cg02919422;cg02192520;cg06131859;cg16139316;cg15983520	7.03;6.22;5.87;5.28;4.92;4.82;4.81;4.72;4.61;4.53	S100A9;CCDC88B;ATP2B2;P2RY6;INPP5A;S1PR4;CRYL1;SBNO2;TAP1;CTBP2	cg06355720;cg22663489;cg20729768;cg04099543;cg04366994;cg27121758;cg16671238;cg04996588;cg09354037;cg04839409	13.23;11.09;10.82;9.58;9.53;9.52;9.51;9.47;9.28;9.10
Psoriasis_GWAS_Catalog_2021	1.39085358869164e-35	2.43399378021038e-33	12.3949927995963	126.731188559046	0.184969383211196	0.631285211778406	0.896588069815585	0.0748439263494609	3.70476717232073e-10	1.16700165928103e-08	6.1570865862302	0.996265589388394	1.47e-29	0.0000	2.68e+01	1.51e-06	92.5408670754928	PSORS1C1;NOTCH4;MICB;MICA;CDSN,HLA-B;DDR1;HCP5;CCHCR1,HLA-C;C6orf15;C4A,C4B,CYP21A1P,CYP21A2,RNF5	rs12191877;rs12191877;rs12191877;rs12191877;rs12191877;rs2894207;rs2844627;rs2844627;rs2844627;rs2844627	50.69;50.69;50.69;50.69;50.69;37.42;35.64;35.64;35.64;35.64	PVT1;NOTCH4;AIM2;PTPN22;ERBB3;TRIM65;SLC45A1;ACTA2;CCHCR1;IL12RB2	cg13784855;cg14700707;cg10636246;cg00916635;cg19258882;cg15238200;cg11283860;cg10894512;cg04824716;cg01356829	6.22;4.67;4.33;4.02;3.82;3.49;3.36;3.29;3.08;3.03	KSR1;CCDC88B;AKAP13;RPS6KA4;SBNO2;KLRC1;AHDC1;SYNE2;PRR5L;JAZF1	cg17456644;cg22663489;cg05254518;cg26114884;cg04996588;cg21125628;cg13375463;cg02886838;cg00220721;cg23597162	13.87;11.09;9.74;9.54;9.47;9.44;9.11;9.10;8.97;8.93
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	8.53483780615789e-13	7.46798308038815e-11	7.05654225102127	191.668895867088	0.0552687273587092	0.330247116508291	1.59578208368593	0.211238067847278	1.00859413364812e-09	2.72320416084994e-08	5.99641684580236	1.13362185012254	1.37e-17	0.0000	1.45e+01	7.04e-04	86.2242653664126	MICB;MICA;CDSN,HLA-B;CCHCR1,HLA-C;HLA-G;TRIM31,ZFP57,HCP5B,HLA-A;HLA-E;NCR3;KLRC2;KLRC3	rs12191877;rs12191877;rs12191877;rs2844627;rs10484552;rs17476793;rs2524222;rs9266629;rs728010;rs728010	50.69;50.69;50.69;35.64;18.13;16.90;9.43;6.40;2.71;2.71	SHC3;GZMB;FCGR3B;LAT;TNFRSF10D;TNF;PRF1;LCP2;PIK3CD;CD48	cg13351583;cg03875678;cg00974864;cg23797100;cg11947493;cg11484872;cg02374486;cg17127769;cg20994801;cg13311440	5.01;4.67;4.42;4.27;4.14;3.08;3.03;3.02;2.62;2.55	CD48;PTK2B;PIK3CD;KLRC1;PRKCA;ITGAL;CD247;SHC3;FYN;NFATC1	cg16909402;cg18734877;cg09706586;cg21125628;cg14648237;cg10522125;cg14278300;cg26493353;cg05517541;cg02736255	11.17;11.03;10.44;9.44;8.76;8.62;8.40;7.98;7.80;7.45
KEGG_VIRAL_MYOCARDITIS	2.96819516266708e-09	1.73144717822247e-07	5.81853986345673	153.616637462669	0.000511021351664283	0.0130675459925581	3.28438756151752	0.26367172201168	0.000261748996672501	0.00159582452810009	3.46843559382627	0.345065084034658	1.96e-13	0.0000	9.48e-02	9.54e-01	0	CDSN,HLA-B;CCHCR1,HLA-C;HLA-G;HLA-DQB1,HLA-DQB1-AS1,HLA-DQB2,HLA-DRB5;HLA-DMA;TRIM31,ZFP57,HCP5B,HLA-A;HLA-DRA;HLA-DQA1,HLA-DRB1,HLA-DRB6,PRRT1;TAP2,HLA-DOB;HLA-E	rs12191877;rs2844627;rs10484552;rs8365;rs8365;rs17476793;rs9268853;rs9268853;rs2856993;rs2524222	50.69;35.64;18.13;16.96;16.96;16.90;12.05;12.05;9.46;9.43	CCND1;SGCA;PRF1;HLA-DRA;CASP8;SGCG;ITGAL;CD28;HLA-DPB1;HLA-DMA	cg16794682;cg07826255;cg02374486;cg19248557;cg23410113;cg07126559;cg14176836;cg04098585;cg12365667;cg24421410	4.92;3.72;3.03;2.61;2.45;2.39;2.38;2.30;2.18;1.91	ABL1;CD55;HLA-DMA;ITGAL;SGCA;FYN;HLA-DMB;PRF1;MYH9;HLA-C	cg10803013;cg15732149;cg12419318;cg10522125;cg04582295;cg05517541;cg20600379;cg19880751;cg09051119;cg11247343	11.63;10.50;9.56;8.62;8.46;7.80;7.50;7.43;7.08;6.98
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.110661144035838	0.541527669989732	1.22301961429339	1.34422354868595	6.12339186867388e-07	2.74021786123156e-05	4.85160258309222	0.879695636620688	3.2975168144941e-09	6.23230677939385e-08	5.80092438658002	3.43755149143939	3.53e-12	0.0000	7.35e+00	2.53e-02	72.8005739835907	IL12RB2;LOC112268098,CNPY2,IL23A,STAT2;LTA;TNFRSF11A;XCL1;XCL2;IL1A;TSLP;FAS;IL1R2	rs1343151;rs2066807;rs1799964;rs4072376;rs1323530;rs10429892;rs444413;rs2162747;rs4934436;rs2072472	5.23;4.71;4.45;3.29;3.15;2.72;2.30;2.21;2.18;2.05	CSF3;IL11RA;TNFRSF9;HGF;IL23A;TNFRSF10D;CCL17;CCL21;TNFSF12;TNFSF13	cg21432842;cg21504624;cg08840010;cg08005849;cg00294382;cg11947493;cg07634706;cg27443224;cg00031162;cg00031162	7.70;7.03;5.69;4.27;4.24;4.14;4.11;4.01;3.76;3.76	TGFBR2;EGFR;CXCR5;ACVR2A;CCR7;IL23A;LTB;CXCR1;PDGFRB;IL17B	cg07613391;cg21681212;cg04537602;cg21233506;cg07388018;cg19951006;cg19279042;cg21004129;cg04841196;cg01410292	8.24;8.21;8.14;8.10;8.04;7.80;7.77;7.71;7.66;7.53
KEGG_TYPE_I_DIABETES_MELLITUS	8.23072913544375e-09	3.60094399675664e-07	5.64559119553029	179.473482191761	0.00223593308140133	0.0410523954850418	2.84280328652868	0.38740657954502	0.00267801948169694	0.0133196232115979	2.78480217249443	0.808042273960822	3.79e-11	0.0000	4.71e-02	9.77e-01	0	CDSN,HLA-B;CCHCR1,HLA-C;HLA-G;HLA-DMA;HLA-DQB1,HLA-DQB1-AS1,HLA-DQB2,HLA-DRB5;TRIM31,ZFP57,HCP5B,HLA-A;HLA-DRA;HLA-DQA1,HLA-DRB1,HLA-DRB6,PRRT1;TAP2,HLA-DOB;HLA-E	rs12191877;rs2844627;rs10484552;rs8365;rs8365;rs17476793;rs9268853;rs9268853;rs2856993;rs2524222	50.69;35.64;18.13;16.96;16.96;16.90;12.05;12.05;9.46;9.43	GZMB;LTA;TNF;PRF1;HLA-DRA;PTPRN;CD28;IL1B;HLA-DPB1;INS	cg03875678;cg17709873;cg11484872;cg02374486;cg19248557;cg06971096;cg04098585;cg15836722;cg12365667;cg13993218	4.67;3.44;3.08;3.03;2.61;2.48;2.30;2.24;2.18;1.99	HLA-DMA;PTPRN2;HLA-DMB;PRF1;IL1B;IL1A;HLA-C;HLA-E;HLA-DPA1;CD28	cg12419318;cg21341435;cg20600379;cg19880751;cg23149881;cg27368523;cg11247343;cg20652371;cg08898074;cg07930752	9.56;7.82;7.50;7.43;7.34;7.02;6.98;6.75;6.50;6.30
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.000806498211865037	0.00948611411123169	3.15354629454727	11.3253055236703	0.000202721310402163	0.00604785242699785	3.53651555741322	0.207821459998091	9.30405955347732e-06	9.02830358342183e-05	4.28096910725947	0.698581215048398	1.19e-10	0.0000	6.38e-01	7.27e-01	0	HLA-DQB1,HLA-DQB1-AS1,HLA-DQB2,HLA-DRB5;HLA-DQA1,HLA-DRB1,HLA-DRB6,PRRT1;HLA-DRA;HSD3B7,KAT8,VKORC1,BCKDK,ZNF646,ITGAM,ZNF668,PYDC1,PRSS53,STX1B,TRIM72,PYCARD,STX4;ITGA6;CD55;CD59;IL1A;ITGA1;IL1R2	rs8365;rs9268853;rs9268853;rs2054213;rs1076594;rs7549152;rs17687664;rs444413;rs350450;rs2072472	16.96;12.05;12.05;3.75;3.34;2.95;2.60;2.30;2.18;2.05	CSF3;IL11RA;CD7;CD37;CD5;TNF;CD59;GP1BB;HLA-DRA;MS4A1	cg21432842;cg21504624;cg02473123;cg10037005;cg24674703;cg11484872;cg24453664;cg07359545;cg19248557;cg06806711	7.70;7.03;5.47;4.18;3.35;3.08;2.98;2.75;2.61;2.61	CD55;ITGA6;CD44;CD19;CD3D;IL1B;IL6R;CSF3;CD37;IL1A	cg15732149;cg24530074;cg15695194;cg05981394;cg07728874;cg23149881;cg17427986;cg21432842;cg13578303;cg27368523	10.50;10.00;8.78;7.97;7.87;7.34;7.31;7.13;7.11;7.02
KEGG_PRIMARY_IMMUNODEFICIENCY	0.00196531693220083	0.0163776411016736	2.88367563734489	3.5940494377532	0.00991258846338102	0.105203190420607	2.32964017473286	0.487974366784821	4.34051660481984e-09	7.45779671191773e-08	5.75467170236398	1.15546983590366	1.21e-10	0.0000	7.19e+00	2.74e-02	72.1928430368944	TAP2,HLA-DOB;TAP1,PSMB8;UNG;CD40;ANKRD36B,ACTR1B,ZAP70,ANKRD36;CIITA;CD4;TEF,TNFRSF13C,MEI1,PMM1;CD3E;CD8A	rs2856993;rs2018501;rs2160603;rs4812997;rs1796047;rs4781011;rs10849517;rs4822066;rs1793174;rs2367376	9.46;2.94;2.61;1.36;1.31;1.23;1.11;1.08;0.91;0.87	CIITA;CD3D;TAP1;LCK;CD4;AIRE;CD3E;ADA;BLNK;IL7R	cg01351032;cg07728874;cg16853860;cg01525376;cg16470760;cg17356252;cg24612198;cg20622019;cg16779976;cg04312209	3.92;2.61;2.55;2.26;1.93;1.91;1.75;1.63;1.48;1.42	TAP2;TAP1;CD19;CD3D;TNFRSF13C;RFXAP;LCK;PTPRC;CD79A;ZAP70	cg09187413;cg09354037;cg05981394;cg07728874;cg21663219;cg17620425;cg07571745;cg09247619;cg19583076;cg21773162	9.79;9.28;7.97;7.87;7.01;6.95;6.74;6.72;6.70;6.16
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.65350750561372e-05	0.000321515348313779	4.15122427607345	177.61286662845	0.00231703191212776	0.0422431957743747	2.83142818777847	0.524730712300034	0.000117426539201759	0.00085360061188971	3.67823548851159	0.444131784550426	3.75e-10	0.0000	7.44e-01	6.89e-01	0	CDSN,HLA-B;CCHCR1,HLA-C;HLA-G;HLA-DMA;HLA-DQB1,HLA-DQB1-AS1,HLA-DQB2,HLA-DRB5;TRIM31,ZFP57,HCP5B,HLA-A;HLA-DRA;HLA-DQA1,HLA-DRB1,HLA-DRB6,PRRT1;TAP2,HLA-DOB;HLA-E	rs12191877;rs2844627;rs10484552;rs8365;rs8365;rs17476793;rs9268853;rs9268853;rs2856993;rs2524222	50.69;35.64;18.13;16.96;16.96;16.90;12.05;12.05;9.46;9.43	GZMB;TNF;PRF1;HLA-DRA;CD28;IL1B;HLA-DPB1;HLA-DMA;KIR3DL1;CD80	cg03875678;cg11484872;cg02374486;cg19248557;cg04098585;cg15836722;cg12365667;cg24421410;cg15627025;cg21572897	4.67;3.08;3.03;2.61;2.30;2.24;2.18;1.91;1.47;1.42	HLA-DMA;KLRC1;HLA-DMB;PRF1;IL1B;IL1A;HLA-C;HLA-E;HLA-DPA1;CD28	cg12419318;cg21125628;cg20600379;cg19880751;cg23149881;cg27368523;cg11247343;cg20652371;cg08898074;cg07930752	9.56;9.44;7.50;7.43;7.34;7.02;6.98;6.75;6.50;6.30
