MODULE	P	FREQ	ZSCORE	CHI	CHI_SD	CHI_SE	NGENES	NMARKER	DENSITY	FDR	DESCR	TOPGENES	TOPMARKERS	TOPVALUES
KEGG_MAPK_SIGNALING_PATHWAY	0	0	47.4303172831187	31.9530101568687	21.4667066970274	6.78836870253968	104	1646	0.999392835458409	2.4129689843367e-306		CACNB2;MAPK9;CACNA1B;HSPA1L;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;DUSP8;PRKCA;MAPK10;DNAJC9,PPP3CB,PPP3CB-AS1;IKBKB	rs11596974;rs73338764;rs7043116;rs74999184;rs11575895;rs12793962;rs179275;rs10032200;rs57004021;rs58134732	3.91;3.42;3.17;2.99;2.77;2.67;2.61;2.41;2.32;2.28
REACTOME_HIV_INFECTION	0	0	42.8603199862359	32.0180428817319	21.4170617670283	6.77266959723198	105	1647	1	2.4129689843367e-306		POLR2E;ERCC3;PSMC3,RAPSN;SUPT4H1;ELL;NUP85;POLR2B;CHRNA3,CHRNA5,RP11-650L12.2,PSMA4;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;NUP88	rs4147929;rs55636820;rs3781627;rs1985749;rs748609;rs114562713;rs4276341;rs931794;rs11575895;rs8064959	5.55;4.73;4.63;4.19;3.54;3.15;2.93;2.81;2.77;2.69
REACTOME_HATS_ACETYLATE_HISTONES	0	0	66.2611539579528	35.4579455340386	23.7025941171267	7.49541838646282	32	1358	1	2.4129689843367e-306		CCDC189,KAT8,RP11-196G11.2,PRSS36,STX4,RNF40;KANSL2;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CSDC2,EP300,MEI1,POLR3H,ZC3H7B;TADA3;KAT14;SUPT3H;USP22;SUPT20H;MEAF6	rs11150601;rs7978263;rs11575895;rs2142695;rs6443265;rs1887853;rs9472460;rs1871276;rs74747358;rs4653298	3.93;3.34;2.77;2.61;2.25;2.07;1.96;1.90;1.87;1.74
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0	0	43.1652371464211	33.4468460740791	22.4170284155807	7.08888681659505	80	1488	0.997319034852547	2.4129689843367e-306		GNB2;ADCYAP1;GNB4;GPR27;REEP2;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CDCA3,LRRC23,ATN1,SPSB2,GNB3,C1RL-AS1,DSTNP2,RPL13P5;OR2W3;OR2T8;REEP6	rs60738304;rs62078840;rs1345445;rs114113354;rs10071273;rs11575895;rs10772577;rs11810634;rs6587381;rs11084896	5.36;3.58;3.24;3.17;3.04;2.77;2.58;2.43;2.24;2.19
REACTOME_GPCR_LIGAND_BINDING	0	0	47.6920085399684	29.8155397528443	20.4819987165946	6.47697669770845	158	1786	0.996651785714286	2.4129689843367e-306		GNB2;AGT;NMB;ADCYAP1;KNG1;WNT3A,C1orf145,MRPL55,IBA57,RP5-1139B12.2;GNB4;ADRA1A;GRM1;NMUR1	rs60738304;rs2493144;rs55874209;rs62078840;rs5030014;rs12086213;rs1345445;rs74722975;rs509673;rs13384421	5.36;3.89;3.67;3.58;3.53;3.52;3.24;2.94;2.91;2.78
REACTOME_INFECTIOUS_DISEASE	0	0	50.5114077271761	25.0223912334491	17.4299610510818	5.51183764494409	324	2379	0.994565217391304	2.4129689843367e-306		POLR2E;GNB2;ERCC3;PSMC3,RAPSN;SUPT4H1;STX1B,RP11-196G11.5,RP11-1072A3.4;RPL13;SAXO2,UBE2Q2P2,RPS17;ADCYAP1;ELL	rs4147929;rs60738304;rs55636820;rs3781627;rs1985749;rs11150601;rs3096309;rs75884951;rs62078840;rs748609	5.55;5.36;4.73;4.63;4.19;3.93;3.77;3.68;3.58;3.54
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	0	0	38.7646588580978	34.1568377600077	22.8692620805934	7.23189565819964	59	1454	1	2.4129689843367e-306		SKA2;CENPP;NUP85;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;KIF2C;PPP2R1B;RANGAP1;ITGB3BP;MIS12;CENPQ	rs7208590;rs10992368;rs114562713;rs11575895;rs11808189;rs11213899;rs5995992;rs41285356;rs78368247;rs9473522	3.61;3.35;3.15;2.77;2.75;2.72;2.36;2.28;2.20;2.19
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0	0	49.4407359355795	37.3493124109989	22.7457482172376	7.19283714511851	98	1742	1	2.4129689843367e-306		KLC3;TRMT61A,RP11-73M18.8,KLC1,BAG5,MARK3,RP11-73M18.6;VPS52,BTNL2,HLA-DRA;PAFAH1B2;KIF3B;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;KIF2C;CYTH2;COG7;BNIP1	rs35751749;rs8005540;rs28895120;rs1263164;rs1535376;rs11575895;rs11808189;rs1799257;rs1468138;rs732678	5.93;3.72;3.57;2.83;2.80;2.77;2.75;2.53;2.52;2.38
_ctrlA	0	0	74.8631072152093	51.7327620200148	19.1890317026324	6.06810462734973	21	3593	0.81133686187468	2.4129689843367e-306	Top genes	CTB-171A8.1;APOE;APOC2;CR1;RP11-385F7.1;HLA-DRB5;HCG23;ABCA7;PPP1R2P1;BAG6,XXbac-BPG154L12.4,XXbac-BPG154L12.5	rs4803764;rs434132;rs62117224;rs679515;rs9349417;rs543928;rs543928;rs4147929;rs2133036;rs9296023	50.89;20.20;12.69;11.09;5.89;5.57;5.57;5.55;4.58;4.35
REACTOME_INTRA_GOLGI_TRAFFIC	6.23308153061951e-276	0	35.4737956505418	35.6333428101193	23.8710076684898	7.54867542757734	23	1334	1	6.08348757388464e-274		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CYTH2;COG7;RIC1;VPS45;COG4;CUX1;TRIP11;COG2;SNAP29,SERPIND1	rs11575895;rs1799257;rs1468138;rs7858848;rs973374;rs56140825;rs73187803;rs1133441;rs1887491;rs165583	2.77;2.53;2.52;2.28;2.04;2.00;1.76;1.75;1.65;1.51
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_	3.79083144118855e-261	0	34.5016330160135	34.9190285801102	23.388755921701	7.39617403503259	41	1387	1	3.36350135145456e-259		GNB2;ADCYAP1;WNT3A,C1orf145,MRPL55,IBA57,RP5-1139B12.2;GNB4;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;CDCA3,LRRC23,ATN1,SPSB2,GNB3,C1RL-AS1,DSTNP2,RPL13P5;WNT9A;WNT3,NSFP1;CALCRL;WNT8B	rs60738304;rs62078840;rs12086213;rs1345445;rs11575895;rs10772577;rs9661279;rs3874943;rs12987470;rs75688102	5.36;3.58;3.52;3.24;2.77;2.58;2.35;2.23;2.15;2.08
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK	3.04569194484575e-250	0	33.7666479798153	40.1993055612259	24.2763588529504	7.6768587270916	31	1548	1	2.47716278180788e-248		VPS52,BTNL2,HLA-DRA;SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;COG7;RIC1;COG4;USP6NL;RAB6B;GCC2;SYS1;GCC1	rs28895120;rs11575895;rs1468138;rs7858848;rs56140825;rs34278295;rs73861195;rs260641;rs2038039;rs3735641	3.57;2.77;2.52;2.28;2.00;1.98;1.91;1.84;1.84;1.76
_ctrlB	9.54012211649541e-241	0	33.1133723883754	42.8708132296647	13.8082491807921	4.36655179104571	21	3593	0.878698948398141	7.16243014284579e-239	Top genes (module members)	APOE;GEMIN7;BIN1;APOC2;CR1;STAG3,PVRIG,AP4M1,LAMTOR4,AGFG2,GATS;HLA-DRB5;ABCA7;MADD;C4A,CYP21A2	rs434132;rs10405086;rs4663105;rs62117224;rs679515;rs34857299;rs543928;rs4147929;rs3781627;rs9270599	20.20;19.30;15.05;12.69;11.09;5.80;5.57;5.55;4.63;4.35
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	9.88089437081147e-228	0	32.1964917275382	36.3909813854393	24.2246962704717	7.66052158404769	17	1303	1	6.88839493279428e-226		SPPL2C,CRHR1,CTD-2020K17.1,AC091132.1,DND1P1,FAM215B,FMNL1,KANSL1,KANSL1-AS1,LINC02210,LRRC37A,LRRC37A2,LRRC37A4P,MAPK8IP1P1,MAPK8IP1P2,MAPT,MAPT-AS1,MAPT-IT1,NMT1,NSF,PLEKHM1,RP11-259G18.1,RP11-259G18.3,ARHGAP27,ARL17A,RP11-707O23.1,RP11-798G7.6,RP11-798G7.8;PRKCA;PICK1,CTA-228A9.3,SLC16A8;AP2A2;GRIA4;AP2A1;PRKCB;GRIA2;AP2B1;CAMK2D	rs11575895;rs179275;rs62236744;rs7395773;rs12574741;rs7251269;rs12103094;rs62335050;rs79909998;rs2374204	2.77;2.61;2.46;2.44;2.31;1.83;1.67;1.61;1.42;1.34
